,집계일시,평균속도
222,2021051006,65.05
223,2021051007,56.97
224,2021051008,53.41
225,2021051009,55.28
226,2021051010,57.77
227,2021051011,53.15
228,2021051012,68.05
229,2021051013,70.2
230,2021051014,71.08
231,2021051015,69.06
232,2021051016,67.13
233,2021051017,54.6
234,2021051018,47.1
235,2021051019,71.28
236,2021051020,80.83
237,2021051021,86.99
238,2021051022,91.58
239,2021051023,97.08
240,2021051100,99.22
241,2021051101,98.04
242,2021051102,98.25
243,2021051103,92.89
244,2021051104,91.96
245,2021051105,88.33
246,2021051106,59.85
247,2021051107,22.89
248,2021051108,62.62
249,2021051109,52.42
250,2021051110,56.0
251,2021051111,71.34
252,2021051112,75.84
253,2021051113,72.04
254,2021051114,67.1
255,2021051115,67.34
256,2021051116,61.64
257,2021051117,60.43
258,2021051118,51.79
259,2021051119,60.76
260,2021051120,78.15
261,2021051121,83.06
262,2021051122,88.96
263,2021051123,95.71
264,2021051200,97.0
265,2021051201,96.6
266,2021051202,95.97
267,2021051203,94.68
268,2021051204,91.98
269,2021051205,88.81
270,2021051206,77.82
271,2021051207,64.24
272,2021051208,52.35
273,2021051209,55.27
274,2021051210,56.89
275,2021051211,68.25
276,2021051212,75.11
277,2021051213,73.72
278,2021051214,69.65
279,2021051215,58.68
280,2021051216,64.01
281,2021051217,63.41
282,2021051218,54.51
283,2021051219,56.3
284,2021051220,80.92
285,2021051221,84.74
286,2021051222,89.63
287,2021051223,98.34
288,2021051300,100.3
289,2021051301,100.18
290,2021051302,100.04
291,2021051303,94.82
292,2021051304,93.11
293,2021051305,88.75
294,2021051306,79.02
295,2021051307,64.23
296,2021051308,55.11
297,2021051309,58.39
298,2021051310,58.1
299,2021051311,71.91
300,2021051312,76.03
301,2021051313,74.03
302,2021051314,70.97
303,2021051315,63.27
304,2021051316,60.0
305,2021051317,61.34
306,2021051318,43.87
307,2021051319,59.25
308,2021051320,91.77
309,2021051321,84.06
310,2021051322,89.72
311,2021051323,97.98
312,2021051400,99.62
313,2021051401,97.43
314,2021051402,98.33
315,2021051403,93.55
316,2021051404,92.32
317,2021051405,88.84
318,2021051406,78.89
319,2021051407,67.14
320,2021051408,60.52
321,2021051409,65.0
322,2021051410,59.85
323,2021051411,72.5
324,2021051412,75.21
325,2021051413,71.38
326,2021051414,62.86
327,2021051415,59.42
328,2021051416,62.6
329,2021051417,62.77
330,2021051418,46.64
331,2021051419,48.35
332,2021051420,76.3
333,2021051421,82.56
334,2021051422,86.4
335,2021051423,95.89
336,2021051500,98.76
337,2021051501,99.67
338,2021051502,98.56
339,2021051503,97.23
340,2021051504,93.07
341,2021051505,93.16
342,2021051506,92.59
343,2021051507,89.72
344,2021051508,81.26
345,2021051509,78.71
346,2021051510,74.35
347,2021051511,76.12
348,2021051512,67.96
349,2021051513,52.67
350,2021051514,56.94
351,2021051515,52.05
352,2021051516,58.48
353,2021051517,55.59
354,2021051518,69.36
355,2021051519,78.64
356,2021051520,77.14
357,2021051521,78.64
358,2021051522,85.68
359,2021051523,88.36
360,2021051600,88.55
361,2021051601,95.66
362,2021051602,92.35
363,2021051603,89.91
364,2021051604,83.93
365,2021051605,89.53
366,2021051606,90.78
367,2021051607,92.61
368,2021051608,91.9
369,2021051609,84.51
370,2021051610,83.7
371,2021051611,81.89
372,2021051612,79.33
373,2021051613,78.21
374,2021051614,76.66
375,2021051615,71.22
376,2021051616,72.39
377,2021051617,79.34
378,2021051618,76.27
379,2021051619,77.23
380,2021051620,80.26
381,2021051621,83.06
382,2021051622,87.7
383,2021051623,93.96
384,2021051700,96.02
385,2021051701,94.89
386,2021051702,90.78
387,2021051703,89.25
388,2021051704,89.87
389,2021051705,86.55
390,2021051706,72.12
391,2021051707,53.31
392,2021051708,43.31
393,2021051709,55.5
394,2021051710,56.83
395,2021051711,57.16
396,2021051712,61.52
397,2021051713,72.34
398,2021051714,68.06
399,2021051715,67.44
400,2021051716,63.44
401,2021051717,55.97
402,2021051718,55.08
403,2021051719,74.04
404,2021051720,79.2
405,2021051721,85.82
406,2021051722,91.53
407,2021051723,98.19
408,2021051800,100.41
409,2021051801,98.55
410,2021051802,98.23
411,2021051803,95.63
412,2021051804,91.82
413,2021051805,89.3
414,2021051806,82.23
415,2021051807,67.75
416,2021051808,51.97
417,2021051809,68.6
418,2021051810,70.61
419,2021051811,65.95
420,2021051812,73.61
421,2021051813,71.9
422,2021051814,65.01
423,2021051815,63.5
424,2021051816,59.33
425,2021051817,60.75
426,2021051818,50.94
427,2021051819,54.99
428,2021051820,75.83
429,2021051821,81.73
430,2021051822,86.8
431,2021051823,96.27
432,2021051900,100.41
433,2021051901,101.66
434,2021051902,101.87
435,2021051903,96.52
436,2021051904,94.2
437,2021051905,94.38
438,2021051906,91.76
439,2021051907,91.44
440,2021051908,88.23
441,2021051909,82.81
442,2021051910,82.02
443,2021051911,83.31
444,2021051912,83.41
445,2021051913,82.15
446,2021051914,81.63
447,2021051915,80.2
448,2021051916,75.2
449,2021051917,68.28
450,2021051918,79.27
451,2021051919,87.23
452,2021051920,82.81
453,2021051921,85.74
454,2021051922,89.64
455,2021051923,99.0
456,2021052000,102.54
457,2021052001,100.0
458,2021052002,98.04
459,2021052003,94.87
460,2021052004,92.9
461,2021052005,88.98
462,2021052006,77.0
463,2021052007,61.2
464,2021052008,53.14
465,2021052009,56.96
466,2021052010,58.37
467,2021052011,61.42
468,2021052012,71.38
469,2021052013,71.6
470,2021052014,67.48
471,2021052015,67.14
472,2021052016,57.27
473,2021052017,59.18
474,2021052018,50.17
475,2021052019,55.14
476,2021052020,70.97
477,2021052021,77.71
478,2021052022,82.37
479,2021052023,92.83
480,2021052100,92.95
481,2021052101,94.71
482,2021052102,88.33
483,2021052103,87.18
484,2021052104,84.96
485,2021052105,82.13
486,2021052106,71.1
487,2021052107,60.49
488,2021052108,61.03
489,2021052109,59.34
490,2021052110,59.19
491,2021052111,58.63
492,2021052112,72.69
493,2021052113,72.18
494,2021052114,66.17
495,2021052115,57.31
496,2021052116,56.57
497,2021052117,59.4
498,2021052118,52.34
499,2021052119,63.66
500,2021052120,78.04
501,2021052121,82.01
502,2021052122,86.57
503,2021052123,95.42
504,2021052200,99.71
505,2021052201,102.07
506,2021052202,97.75
507,2021052203,96.06
508,2021052204,94.91
509,2021052205,94.93
510,2021052206,90.27
511,2021052207,89.8
512,2021052208,82.95
513,2021052209,76.03
514,2021052210,73.71
515,2021052211,77.34
516,2021052212,77.85
517,2021052213,74.96
518,2021052214,78.0
519,2021052215,73.28
520,2021052216,73.38
521,2021052217,61.57
522,2021052218,74.22
523,2021052219,85.02
524,2021052220,82.65
525,2021052221,83.6
526,2021052222,88.44
527,2021052223,96.62
528,2021052300,99.84
529,2021052301,102.08
530,2021052302,99.64
531,2021052303,101.46
532,2021052304,99.86
533,2021052305,104.52
534,2021052306,103.03
535,2021052307,100.55
536,2021052308,97.97
537,2021052309,90.75
538,2021052310,88.26
539,2021052311,88.15
540,2021052312,87.25
541,2021052313,86.15
542,2021052314,85.26
543,2021052315,83.88
544,2021052316,80.95
545,2021052317,82.97
546,2021052318,88.77
547,2021052319,89.08
548,2021052320,85.44
549,2021052321,88.68
550,2021052322,94.45
551,2021052323,99.29
552,2021052400,101.03
553,2021052401,100.95
554,2021052402,100.02
555,2021052403,96.39
556,2021052404,95.0
557,2021052405,89.76
558,2021052406,75.75
559,2021052407,63.11
560,2021052408,53.75
561,2021052409,57.98
562,2021052410,70.74
563,2021052411,76.17
564,2021052412,77.52
565,2021052413,75.82
566,2021052414,73.59
567,2021052415,73.76
568,2021052416,63.25
569,2021052417,63.97
570,2021052418,54.48
571,2021052419,67.79
572,2021052420,78.53
573,2021052421,87.15
574,2021052422,92.29
575,2021052423,97.78
576,2021052500,100.35
577,2021052501,98.32
578,2021052502,95.51
579,2021052503,94.47
580,2021052504,92.18
581,2021052505,81.85
582,2021052506,67.18
583,2021052507,60.99
584,2021052508,61.73
585,2021052509,58.66
586,2021052510,59.96
587,2021052511,72.55
588,2021052512,76.21
589,2021052513,72.18
590,2021052514,69.98
591,2021052515,69.11
592,2021052516,62.85
593,2021052517,58.03
594,2021052518,55.31
595,2021052519,65.07
596,2021052520,78.82
597,2021052521,84.67
598,2021052522,90.31
599,2021052523,97.55
600,2021052600,99.66
601,2021052601,99.25
602,2021052602,98.23
603,2021052603,94.18
604,2021052604,92.47
605,2021052605,88.82
606,2021052606,76.95
607,2021052607,50.49
608,2021052608,56.0
609,2021052609,63.21
610,2021052610,64.93
611,2021052611,72.46
612,2021052612,74.9
613,2021052613,74.58
614,2021052614,69.83
615,2021052615,66.83
616,2021052616,56.82
617,2021052617,60.5
618,2021052618,53.79
619,2021052619,60.34
620,2021052620,80.21
621,2021052621,84.49
622,2021052622,89.55
623,2021052623,98.14
624,2021052700,101.46
625,2021052701,100.41
626,2021052702,98.56
627,2021052703,94.05
628,2021052704,92.56
629,2021052705,88.84
630,2021052706,67.73
631,2021052707,60.65
632,2021052708,59.63
633,2021052709,58.69
634,2021052710,57.47
635,2021052711,59.02
636,2021052712,74.64
637,2021052713,74.04
638,2021052714,72.18
639,2021052715,71.34
640,2021052716,66.47
641,2021052717,58.8
642,2021052718,57.64
643,2021052719,75.44
644,2021052720,80.86
645,2021052721,85.21
646,2021052722,89.77
647,2021052723,97.16
648,2021052800,99.25
649,2021052801,99.41
650,2021052802,95.93
651,2021052803,92.86
652,2021052804,84.54
653,2021052805,78.81
654,2021052806,70.78
655,2021052807,59.04
656,2021052808,59.68
657,2021052809,60.53
658,2021052810,58.41
659,2021052811,65.68
660,2021052812,75.04
661,2021052813,73.76
662,2021052814,69.4
663,2021052815,70.65
664,2021052816,74.23
665,2021052817,63.07
666,2021052818,52.51
667,2021052819,61.28
668,2021052820,79.35
669,2021052821,83.49
670,2021052822,88.42
671,2021052823,96.29
672,2021052900,98.83
673,2021052901,100.6
674,2021052902,100.06
675,2021052903,96.94
676,2021052904,94.82
677,2021052905,94.58
678,2021052906,91.16
679,2021052907,89.83
680,2021052908,82.74
681,2021052909,78.32
682,2021052910,75.12
683,2021052911,73.0
684,2021052912,70.06
685,2021052913,56.31
686,2021052914,80.22
687,2021052915,63.39
688,2021052916,56.7
689,2021052917,56.5
690,2021052918,72.06
691,2021052919,84.26
692,2021052920,85.31
693,2021052921,86.52
694,2021052922,89.11
695,2021052923,96.48
696,2021053000,100.77
697,2021053001,101.28
698,2021053002,100.32
699,2021053003,99.52
700,2021053004,98.76
701,2021053005,104.14
702,2021053006,101.85
703,2021053007,99.51
704,2021053008,95.53
705,2021053009,89.91
706,2021053010,86.06
707,2021053011,84.07
708,2021053012,83.45
709,2021053013,81.84
710,2021053014,82.53
711,2021053015,80.48
712,2021053016,80.22
713,2021053017,80.38
714,2021053018,78.89
715,2021053019,70.32
716,2021053020,80.91
717,2021053021,78.54
718,2021053022,74.73
719,2021053023,87.96
720,2021053100,91.57
721,2021053101,91.3
722,2021053102,92.97
723,2021053103,90.54
724,2021053104,91.95
725,2021053105,87.19
726,2021053106,74.45
727,2021053107,81.51
728,2021053108,78.97
729,2021053109,51.45
730,2021053110,70.52
731,2021053111,71.16
732,2021053112,77.21
733,2021053113,69.64
734,2021053114,53.45
735,2021053115,57.62
736,2021053116,61.12
737,2021053117,63.06
738,2021053118,56.01
739,2021053119,58.86
740,2021053120,79.86
741,2021053121,86.01
742,2021053122,92.28
743,2021053123,97.76
